node_id,lon,lat
153,5.382,46.058
154,7.377,46.217
155,-4.456,48.386
156,-4.232,48.448
157,9.461,45.789
158,8.815,46.161
159,13.802,47.61
160,11.933,46.006
161,13.651,45.071
162,17.733,42.833
163,16.556,45.254
164,13.621,45.316
165,13.66,45.298
166,24.225,41.81
167,28.12,45.401
168,22.691,46.201
169,22.898,46.477
170,23.42,46.624
171,22.679,45.714
172,23.662,45.904
173,21.617,45.459
174,23.112,45.366
175,35.783,36.755
176,11.056,48.079
177,8.664,50.425
178,8.563,50.266
179,8.492,49.754
180,9.125,48.286
181,2.883,46.281
182,25.04,43.701
183,21.552,45.097
184,-0.759,47.644
185,13.562,41.215
186,13.249,41.695
187,31.131,37.219
188,13.816,41.482
189,15.527,41.224
190,27.016,40.381
191,27.018,40.314
192,28.077,40.151
193,28.917,40.365
194,29.177,40.423
195,29.018,41.011
196,4.864,46.127
197,5.037,45.847
198,6.043,44.444
199,5.901,46.125
200,4.942,43.591
201,3.226,43.337
202,9.207,36.732
203,11.627,42.413
204,13.841,42.115
205,33.991,30.501
206,36.453,33.192
207,32.941,35.299
208,26.152,39.76
209,27.615,38.921
210,22.865,40.687
211,22.169,41.707
212,23.128,41.907
213,22.958,40.672
214,22.977,40.711
215,22.604,41.032
216,24.644,40.983
217,20.032,39.746
218,22.957,37.941
219,23.755,35.545
220,35.394,39.808
221,27.229,37.054
222,27.374,37.13
223,27.323,37.669
224,29.418,25.287
225,34.002,24.623
226,34.01,25.878
227,34.193,25.793
228,34.571,25.437
229,35.235,38.69
230,29.884,39.208
231,23.537,41.091
232,37.386,39.235
233,27.245,37.426
234,28.781,25.654
235,28.859,25.666
236,35.216,38.773
237,28.567,37.914
238,5.691,34.983
239,3.703,35.166
240,-0.612,34.956
241,-0.517,52.567
242,0.778,52.96
243,1.081,52.605
244,0.141,51.78
245,-0.651,52.244
246,-1.397,51.631
247,-1.588,50.936
248,-2.895,53.202
249,-3.984,52.202
250,-4.021,52.134
251,-3.896,53.026
252,-3.918,52.927
253,-3.655,52.881
254,-3.817,51.677
255,-3.213,55.271
256,-1.601,54.978
257,-1.526,54.747
258,-0.793,54.331
259,-2.502,54.117
260,-3.387,54.358
261,-2.874,54.486
262,-2.603,54.993
263,-1.996,55.77
264,-3.491,54.711
265,1.413,52.492
266,-1.032,51.131
267,1.74,50.935
268,-3.879,51.952
269,-3.168,51.495
270,-3.987,53.245
271,-0.873,54.141
272,27.844,27.401
273,27.842,27.003
274,-0.383,53.021
275,-3.516,52.497
276,23.437,37.75
277,-2.733,54.327
278,16.039,48.324
279,16.861,48.078
280,28.628,45.015
281,-1.932,53.488
282,9.678,33.009
283,30.751,37.877
284,22.892,37.912
285,14.336,30.023
286,15.821,29.047
287,21.526,32.845
288,21.628,32.916
289,23.528,37.928
290,9.184,41.379
291,8.457,39.056
292,8.552,39.675
293,8.435,39.874
294,24.296,29.709
